15N,1H,i
100.945,10.442,8.1934e-05
100.945,10.4615,2.13385e-05
100.945,10.4811,0.000215687
100.945,10.5202,0.000464898
100.945,10.6572,0.000179291
100.945,10.6768,0.000228617
100.945,10.6963,0.000195179
100.945,10.7355,0.000120915
100.945,10.7942,0.000402551
100.945,10.8138,8.06414e-05
100.945,10.8529,0.000238407
100.945,10.8725,0.000683814
100.945,10.892,0.000372529
100.945,10.9312,0.00028614
100.945,10.9507,0.000384089
100.945,10.9703,0.00082491
101.013,6.0,0.000763647
101.013,6.07827,0.000907883
101.013,6.09784,0.00164688
101.013,6.11741,0.000825189
101.013,6.13698,0.000599287
101.013,6.25439,0.00100223
101.013,6.27395,0.000888277
101.013,6.33266,0.000217222
101.013,6.35223,0.00146554
101.013,6.37179,0.00074897
101.013,6.41093,0.000303078
101.013,6.4305,0.000762932
101.013,6.4892,0.000207521
101.013,6.50877,0.000357382
101.013,6.52834,0.000125349
101.013,6.54791,3.51965e-05
101.013,6.62618,0.000478569
101.013,6.66532,0.00134167
101.013,6.68488,0.00107158
101.013,6.70445,0.000801496
101.013,6.72402,0.000180401
101.013,6.78272,0.000706539
101.013,6.80229,0.00145418
101.013,6.84143,0.0003311
101.013,6.88056,0.000951365
101.013,6.9197,0.000430491
101.013,6.95884,0.000693098
101.013,6.9784,9.54196e-05
101.013,7.01754,0.000693884
101.013,7.03711,0.000404906
101.013,7.05668,0.000115927
101.013,7.11538,0.000122994
101.013,7.13495,4.15742e-06
101.013,7.15452,0.000409871
101.013,7.17409,0.000106182
101.013,7.19365,1.90064e-05
101.013,7.23279,0.00112657
101.013,7.27193,0.000145648
101.013,7.29149,0.000630241
101.013,7.31106,0.000151329
101.013,7.33063,0.000476398
101.013,7.3502,0.000319671
101.013,7.44804,0.000546925
101.013,7.48717,0.0003272
101.013,7.50674,0.000242461
101.013,7.52631,0.000488777
101.013,7.58502,0.000484515
101.013,7.66329,0.000295158
101.013,7.68286,0.00135179
101.013,7.70242,0.00123735
101.013,7.72199,0.000224344
101.013,7.74156,0.000558458
101.013,7.7807,0.00041068
101.013,7.8394,0.000435527
101.013,7.85897,0.000239979
101.013,8.05465,2.03699e-05
101.013,8.07422,0.000286255
101.013,8.09379,0.000531256
101.013,8.15249,0.000494782
101.013,8.21119,4.9293e-05
101.013,8.23076,0.00106244
101.013,8.28947,0.000516731
101.013,8.30903,0.00011117
101.013,8.34817,0.000395924
101.013,8.38731,0.000569832
101.013,8.42644,0.000724182
101.013,8.44601,0.000157725
101.013,8.46558,0.000679012
101.013,8.52428,2.61888e-05
101.013,8.54385,6.77109e-05
101.013,8.56342,3.63514e-05
101.013,8.58299,0.000241458
101.013,8.60256,0.000548542
101.013,8.62212,0.000524569
101.013,8.64169,6.64629e-05
101.013,8.68083,7.24681e-05
101.013,8.7004,0.000560224
101.013,8.7591,7.14734e-05
101.013,8.79824,0.000152066
101.013,8.85694,0.000725936
101.013,8.89608,0.00118284
101.013,8.91565,0.000630956
101.013,8.93521,0.000599299
101.013,8.97435,0.000593249
101.013,8.99392,7.29524e-05
101.013,9.01349,0.000262056
101.013,9.05262,4.57466e-05
101.013,9.07219,0.000682466
101.013,9.09176,0.000136849
101.013,9.11133,0.000263497
101.013,9.15046,0.000111852
101.013,9.17003,0.00035378
101.013,9.1896,5.42365e-05
101.013,9.2483,0.000707418
101.013,9.30701,3.80464e-05
101.013,9.34614,0.000711724
101.013,9.36571,0.000283323
101.013,9.38528,2.04518e-05
101.013,9.44398,4.28371e-05
101.013,9.46355,0.000933293
101.013,9.48312,0.000452247
101.013,9.50269,9.80496e-06
101.013,9.56139,0.000184048
101.013,9.58096,0.00108337
101.013,9.63966,1.26585e-05
101.013,9.73751,0.000327602
101.013,9.75707,0.000625137
101.013,9.85491,0.000975553
101.013,9.87448,0.000152089
101.013,9.97232,2.21841e-05
101.013,10.031,0.000594079
101.013,10.0506,0.000105917
101.013,10.168,0.00065697
101.013,10.1876,0.000440098
101.013,10.3245,0.00105731
101.013,10.3833,0.000625901
101.013,10.4615,1.4782e-05
101.013,10.4811,0.000178415
101.013,10.5202,0.000511408
101.013,10.5985,8.32267e-05
101.013,10.6572,0.00014456
101.013,10.6768,0.000225108
101.013,10.6963,6.91861e-05
101.013,10.7355,0.000209589
101.013,10.7942,0.000503324
101.013,10.8138,0.000125349
101.013,10.8529,0.000391003
101.013,10.8725,0.000707094
101.013,10.892,0.00040837
101.013,10.9116,7.5873e-05
101.013,10.9312,0.000452776
101.013,10.9507,0.000344921
101.013,10.9703,0.000851881
101.08,6.0,0.00109156
101.08,6.07827,0.000580292
101.08,6.09784,0.00149264
101.08,6.11741,0.000797015
101.08,6.13698,0.000555158
101.08,6.19568,3.53791e-05
101.08,6.25439,0.00110811
101.08,6.27395,0.000976488
101.08,6.31309,6.25849e-07
101.08,6.33266,0.000393532
101.08,6.35223,0.00140125
101.08,6.37179,0.000795249
101.08,6.41093,0.000240915
101.08,6.4305,0.000623636
101.08,6.4892,0.000208538
101.08,6.50877,0.000203677
101.08,6.52834,9.96478e-05
101.08,6.54791,6.6556e-05
101.08,6.56747,6.81952e-05
101.08,6.62618,0.000653751
101.08,6.66532,0.00124653
101.08,6.68488,0.00107073
101.08,6.70445,0.000965867
101.08,6.78272,0.000855487
101.08,6.80229,0.00159276
101.08,6.84143,0.000160865
101.08,6.88056,0.00100374
101.08,6.9197,0.000459772
101.08,6.95884,0.000636477
101.08,6.9784,0.000142343
101.08,7.01754,0.000763483
101.08,7.03711,0.000436518
101.08,7.05668,0.000322372
101.08,7.11538,0.000145506
101.08,7.15452,0.000234887
101.08,7.17409,2.224e-05
101.08,7.19365,0.000180181
101.08,7.23279,0.00117475
101.08,7.27193,0.000256479
101.08,7.29149,0.000801217
101.08,7.31106,0.000157401
101.08,7.33063,0.000489008
101.08,7.3502,0.000237208
101.08,7.36977,0.000174582
101.08,7.44804,0.000606503
101.08,7.48717,0.000413079
101.08,7.50674,0.000224739
101.08,7.52631,0.000367448
101.08,7.58502,0.000394743
101.08,7.66329,0.00024775
101.08,7.68286,0.00133396
101.08,7.70242,0.000855703
101.08,7.72199,0.00017054
101.08,7.74156,0.000678424
101.08,7.7807,0.000566415
101.08,7.8394,0.000462499
101.08,7.85897,0.000319093
101.08,7.97638,0.00012514
101.08,8.03508,5.43632e-05
101.08,8.05465,0.000192661
101.08,8.07422,0.000378255
101.08,8.09379,0.00066353
101.08,8.11335,9.75206e-05
101.08,8.15249,0.000351794
101.08,8.21119,0.000104208
101.08,8.23076,0.000857193
101.08,8.28947,0.000378385
101.08,8.30903,0.000119761
101.08,8.34817,0.000326782
101.08,8.38731,0.000561148
101.08,8.42644,0.000511453
101.08,8.44601,0.0001707
101.08,8.46558,0.000586644
101.08,8.52428,9.65744e-05
101.08,8.54385,0.000180032
101.08,8.56342,0.000195306
101.08,8.58299,0.00044705
101.08,8.60256,0.000715416
101.08,8.62212,0.000558145
