empirical_peak_idx,theoretical_peak_idx,flow,25C_15N,25C_1H,30C_15N,30C_1H
152,129,0.0011621402576565741,109.85299999999998,7.80026,109.785,7.8394
153,125,4.067821428179741e-05,109.85299999999998,7.81983,109.718,7.85897
153,129,8.926112204790115e-05,109.85299999999998,7.81983,109.785,7.8394
153,131,0.0003433062694966793,109.85299999999998,7.81983,109.85299999999998,7.81983
154,131,0.0001947258599102497,109.92000000000002,7.7807,109.85299999999998,7.81983
155,129,1.3162940740585326e-05,109.92000000000002,7.80026,109.785,7.8394
155,132,0.0008598248474299907,109.92000000000002,7.80026,109.85299999999998,7.8394
156,133,0.0003585269674658775,109.92000000000002,7.81983,109.92000000000002,7.81983
157,132,0.00010731462389230728,109.988,7.80026,109.85299999999998,7.8394
157,133,1.4330539852380752e-05,109.988,7.80026,109.92000000000002,7.81983
157,134,0.000462366733700037,109.988,7.80026,109.92000000000002,7.8394
158,134,0.00019554896280169485,109.988,7.81983,109.92000000000002,7.8394
158,135,4.6972464770078655e-05,109.988,7.81983,109.988,7.8394
159,135,0.00033401520922780035,110.055,7.80026,109.988,7.8394
163,137,0.00026923343539237977,110.933,7.27193,111.0,7.31106
164,136,0.00027793943881988526,111.0,7.25236,111.0,7.29149
165,137,7.006069645285606e-05,111.0,7.27193,111.0,7.31106
165,139,0.0003270101733505726,111.0,7.27193,111.068,7.31106
166,138,0.0004050862044095993,111.068,7.25236,111.068,7.29149
167,139,0.00020280070602893827,111.068,7.27193,111.068,7.31106
167,141,0.0003143641166388988,111.068,7.27193,111.135,7.31106
169,140,0.0005304708145558834,111.135,7.25236,111.135,7.29149
170,141,0.0004062275402247906,111.135,7.27193,111.135,7.31106
170,143,0.00020400406792759894,111.135,7.27193,111.203,7.31106
172,142,0.0006333343684673309,111.203,7.25236,111.203,7.29149
173,143,0.0006604724563658238,111.203,7.27193,111.203,7.31106
175,144,0.0006960432976484298,111.26999999999998,7.25236,111.26999999999998,7.29149
176,145,0.0006593657657504082,111.26999999999998,7.27193,111.26999999999998,7.31106
177,146,0.0007074653171002865,111.338,7.25236,111.338,7.29149
177,148,7.317708805203438e-05,111.338,7.25236,111.405,7.29149
178,147,0.0006079972721636295,111.338,7.27193,111.338,7.31106
179,148,0.0005918171256780624,111.405,7.25236,111.405,7.29149
179,150,0.00015953555703163147,111.405,7.25236,111.473,7.29149
180,149,0.0005160667933523655,111.405,7.27193,111.405,7.31106
181,150,0.00041702175512909885,111.473,7.25236,111.473,7.29149
181,152,0.00015793126076459884,111.473,7.25236,111.53999999999999,7.29149
182,151,0.0004003297537565231,111.473,7.27193,111.473,7.31106
183,152,0.0002998952753841877,111.53999999999999,7.25236,111.53999999999999,7.29149
183,154,9.432770311832427e-05,111.53999999999999,7.25236,111.607,7.29149
184,153,0.00028017684817314146,111.53999999999999,7.27193,111.53999999999999,7.31106
186,154,0.00023414734750986098,111.607,7.25236,111.607,7.29149
188,158,0.0002477914094924927,111.607,7.95681,111.67500000000001,7.99595
188,160,7.512923330068588e-05,111.607,7.95681,111.742,7.99595
189,157,0.0003223408944904804,111.67500000000001,7.93724,111.67500000000001,7.97638
190,160,0.0003508885391056538,111.67500000000001,7.95681,111.742,7.99595
190,162,0.00011560600250959396,111.67500000000001,7.95681,111.81,7.99595
191,159,0.0005167474038898944,111.742,7.93724,111.742,7.97638
191,161,0.00014728987589478492,111.742,7.93724,111.81,7.97638
192,162,0.0004981493577361106,111.742,7.95681,111.81,7.99595
192,164,9.953007102012633e-05,111.742,7.95681,111.877,7.99595
194,161,0.0005716988816857338,111.81,7.93724,111.81,7.97638
194,163,0.0006360920146107673,111.81,7.93724,111.877,7.97638
195,164,0.0006820438429713249,111.81,7.95681,111.877,7.99595
195,166,1.350492238998413e-05,111.81,7.95681,111.945,7.99595
197,163,0.0002620004117488861,111.877,7.93724,111.877,7.97638
197,165,0.0010146327316761016,111.877,7.93724,111.945,7.97638
198,166,0.0007423589006066322,111.877,7.95681,111.945,7.99595
200,165,9.286869317293166e-06,111.945,7.93724,111.945,7.97638
200,167,0.0010742140933871268,111.945,7.93724,112.012,7.97638
200,169,0.00016353679820895194,111.945,7.93724,112.08,7.97638
201,166,0.00014562495052814484,111.945,7.95681,111.945,7.99595
201,168,0.0005849079228937626,111.945,7.95681,112.012,7.99595
203,169,0.0008760815486311912,112.012,7.93724,112.08,7.97638
203,171,0.00024838261306285857,112.012,7.93724,112.147,7.97638
204,168,0.00036717178300023075,112.012,7.95681,112.012,7.99595
204,170,0.0002957227639853954,112.012,7.95681,112.08,7.99595
205,171,0.0006797251291573047,112.08,7.93724,112.147,7.97638
205,173,0.0002513710409402847,112.08,7.93724,112.215,7.97638
206,170,0.0005519452504813671,112.08,7.95681,112.08,7.99595
207,173,0.0005078114569187165,112.147,7.93724,112.215,7.97638
207,175,0.00019296174868941305,112.147,7.93724,112.282,7.97638
208,172,0.0004174414090812206,112.147,7.95681,112.147,7.99595
209,175,0.0003707625903189182,112.215,7.93724,112.282,7.97638
209,177,9.981309995055199e-05,112.215,7.93724,112.35,7.97638
210,174,0.0002814383246004581,112.215,7.95681,112.215,7.99595
211,177,0.0002712702378630638,112.282,7.93724,112.35,7.97638
212,179,0.00032574310898780823,114.374,8.85694,114.374,8.89608
212,180,0.00012499429285526276,114.374,8.85694,114.44199999999998,8.89608
213,180,0.00047160079702734947,114.44199999999998,8.85694,114.44199999999998,8.89608
213,181,0.0002519027329981327,114.44199999999998,8.85694,114.50900000000001,8.89608
216,181,0.0006518234498798847,114.50900000000001,8.85694,114.50900000000001,8.89608
216,185,0.0003577723167836666,114.50900000000001,8.85694,114.577,8.89608
217,182,0.00027643349021673204,114.50900000000001,8.87651,114.50900000000001,8.91565
220,185,0.000846429169178009,114.577,8.85694,114.577,8.89608
220,190,0.0004193572327494621,114.577,8.85694,114.644,8.89608
221,186,0.00035768793895840645,114.577,8.87651,114.577,8.91565
224,189,0.00024904115125536915,114.644,8.83737,114.644,8.87651
225,190,0.0010303703136742115,114.644,8.85694,114.644,8.89608
225,195,0.0004193066619336605,114.644,8.85694,114.71199999999999,8.89608
226,191,0.00041886856779456134,114.644,8.87651,114.644,8.91565
230,194,0.0002743137069046497,114.71199999999999,8.83737,114.71199999999999,8.87651
231,195,0.0011781284585595131,114.71199999999999,8.85694,114.71199999999999,8.89608
231,200,0.0003508005291223526,114.71199999999999,8.85694,114.779,8.89608
232,196,0.0004488760605454445,114.71199999999999,8.87651,114.71199999999999,8.91565
236,199,0.0002795970998704433,114.779,8.83737,114.779,8.87651
237,200,0.0012703637592494487,114.779,8.85694,114.779,8.89608
237,205,0.00021953433752059935,114.779,8.85694,114.84700000000001,8.89608
238,201,0.00044352756813168524,114.779,8.87651,114.779,8.91565
243,204,0.00026464182883501053,114.84700000000001,8.83737,114.84700000000001,8.87651
244,205,0.001296986360102892,114.84700000000001,8.85694,114.84700000000001,8.89608
244,210,4.378203302621841e-05,114.84700000000001,8.85694,114.914,8.89608
245,206,0.0004039272665977478,114.84700000000001,8.87651,114.84700000000001,8.91565
253,210,0.0009446854703128337,114.914,8.85694,114.914,8.89608
253,215,0.0001650078222155571,114.914,8.85694,114.982,8.89608
254,210,0.00031420793384313584,114.914,8.87651,114.914,8.89608
254,211,2.3716595023870468e-05,114.914,8.87651,114.914,8.91565
261,215,0.0005954951047897339,114.982,8.85694,114.982,8.89608
261,221,0.0002410481683909893,114.982,8.85694,115.049,8.89608
262,215,0.0002575521357357502,114.982,8.87651,114.982,8.89608
268,221,0.000469844788312912,115.049,8.85694,115.049,8.89608
268,227,9.504798799753189e-05,115.049,8.85694,115.11700000000002,8.89608
273,227,0.0003314360976219177,115.11700000000002,8.85694,115.11700000000002,8.89608
214,183,4.1546300053596493e-07,114.44199999999998,9.17003,114.50900000000001,9.1896
214,184,0.00030278116464614867,114.44199999999998,9.17003,114.50900000000001,9.20917
218,183,0.00031538782641291616,114.50900000000001,9.17003,114.50900000000001,9.1896
218,188,0.00018765656277537344,114.50900000000001,9.17003,114.577,9.20917
222,187,0.00048137689009308815,114.577,9.17003,114.577,9.1896
222,188,1.257592812180519e-05,114.577,9.17003,114.577,9.20917
222,193,0.0002253592014312744,114.577,9.17003,114.644,9.20917
223,188,0.0002967746928334236,114.577,9.1896,114.577,9.20917
227,192,0.000267151091247797,114.644,9.15046,114.644,9.1896
228,193,0.0004627184942364692,114.644,9.17003,114.644,9.20917
228,198,0.000457537081092596,114.644,9.17003,114.71199999999999,9.20917
229,192,0.0003807694651186466,114.644,9.1896,114.644,9.1896
229,193,8.792057633399963e-06,114.644,9.1896,114.644,9.20917
233,202,0.0003091279417276382,114.71199999999999,9.15046,114.779,9.1896
234,197,0.0007412572391331195,114.71199999999999,9.17003,114.71199999999999,9.1896
234,203,0.0003314039669930935,114.71199999999999,9.17003,114.779,9.20917
235,197,4.836330190300941e-05,114.71199999999999,9.1896,114.71199999999999,9.1896
