15N,1H,i
101.013,8.11335,0.000146937
101.013,8.13292,0.00056548
101.013,8.15249,5.40763e-05
101.013,8.17206,0.000467747
101.013,8.2699,2.47732e-06
101.013,8.30903,0.00039199
101.013,8.3286,0.00101354
101.013,8.34817,0.000684775
101.013,8.40688,5.30556e-05
101.013,8.42644,0.00104361
101.013,8.44601,0.000203107
101.013,8.46558,0.000638746
101.013,8.48515,0.000620224
101.013,8.52428,0.000121601
101.013,8.54385,0.000130229
101.013,8.56342,0.000445593
101.013,8.64169,0.000368327
101.013,8.73953,0.000308812
101.013,8.77867,0.000593986
101.013,8.79824,4.32134e-06
101.013,8.89608,5.56409e-05
101.013,8.93521,9.75095e-05
101.013,8.95478,4.05945e-05
101.013,8.99392,0.000239011
101.013,9.07219,3.59677e-05
101.013,9.2483,0.000509296
101.013,9.30701,1.24201e-05
101.013,9.32658,0.000130761
101.013,9.38528,7.99447e-06
101.013,9.40485,0.000373218
101.013,9.42442,0.000484742
101.013,9.52226,0.000207018
101.013,9.56139,0.00017849
101.013,9.63966,7.98516e-05
101.013,9.69837,3.12626e-05
101.013,9.73751,0.000773404
101.013,9.75707,0.000765834
101.013,9.85491,0.000638891
101.013,9.91362,2.56263e-05
101.013,9.93319,0.000197515
101.013,9.95275,0.000885285
101.013,10.031,0.000428952
101.013,10.168,0.000387866
101.013,10.1876,0.00104952
101.013,10.305,0.00016905
101.013,10.3637,0.000929035
101.013,10.3833,2.95416e-06
101.013,10.442,0.000481665
101.013,10.4615,0.000616629
101.013,10.4811,0.00128954
101.013,10.5007,8.89711e-05
101.013,10.5202,0.000362877
101.013,10.5594,0.000333712
101.013,10.5789,0.000139244
101.013,10.5985,0.000309847
101.013,10.6376,0.000466075
101.013,10.6963,0.000343628
101.013,10.7159,0.00134512
101.013,10.7355,0.000880405
101.013,10.755,0.00016433
101.013,10.8138,0.000249337
101.013,10.8333,6.72042e-06
101.013,10.8725,0.000140466
101.013,10.892,0.000761192
101.013,10.9507,0.000134539
101.08,6.0,0.000820957
101.08,6.01957,0.000684164
101.08,6.03914,0.00111756
101.08,6.07827,0.000130389
101.08,6.15654,0.000107054
101.08,6.19568,0.000191852
101.08,6.21525,0.0003458
101.08,6.23482,0.000282533
101.08,6.27395,1.0062e-05
101.08,6.31309,0.000712298
101.08,6.37179,0.000140917
101.08,6.45007,0.000160061
101.08,6.4892,0.000145264
101.08,6.52834,0.00030246
101.08,6.64575,3.99314e-05
101.08,6.66532,0.000575054
101.08,6.68488,0.000275787
101.08,6.76316,8.64677e-05
101.08,6.78272,0.00110719
101.08,6.861,0.000647627
101.08,6.88056,0.000347432
101.08,6.90013,0.000264451
101.08,6.9197,4.58695e-05
101.08,6.93927,0.000451785
101.08,6.9784,0.000160564
101.08,6.99797,0.000146497
101.08,7.01754,0.000241037
101.08,7.03711,7.16969e-05
101.08,7.11538,0.000656947
101.08,7.13495,7.07284e-05
101.08,7.17409,0.000228815
101.08,7.29149,0.000284974
101.08,7.33063,0.000634078
101.08,7.3502,0.000754327
101.08,7.36977,0.000779543
101.08,7.38933,0.000590991
101.08,7.4089,0.000239529
101.08,7.44804,0.000223882
101.08,7.54588,0.000177614
101.08,7.56545,2.22065e-05
101.08,7.58502,0.000285108
101.08,7.60458,4.96954e-06
101.08,7.64372,0.000467572
101.08,7.66329,0.0013904
101.08,7.68286,0.00147152
101.08,7.70242,0.000381816
101.08,7.76113,0.00021651
101.08,7.80026,4.10303e-05
101.08,7.81983,1.86265e-05
101.08,7.87854,0.00123243
101.08,7.8981,0.00109876
101.08,7.91767,0.000530668
101.08,7.93724,0.000577435
101.08,7.95681,0.000447713
101.08,7.99595,0.00014415
101.08,8.01551,0.000792556
101.08,8.03508,0.000925072
101.08,8.05465,0.00102111
101.08,8.07422,0.000601251
101.08,8.11335,0.000250664
101.08,8.13292,0.000274979
101.08,8.15249,0.00011941
101.08,8.17206,0.000405595
101.08,8.21119,1.38544e-05
101.08,8.23076,4.18797e-05
101.08,8.2699,7.26394e-05
101.08,8.30903,0.000380006
101.08,8.3286,0.00085967
101.08,8.34817,0.000660539
101.08,8.40688,4.35375e-05
101.08,8.42644,0.00116882
101.08,8.44601,0.000256006
101.08,8.46558,0.000782248
101.08,8.48515,0.000483587
101.08,8.52428,0.000120457
101.08,8.56342,0.000378348
101.08,8.64169,0.000483457
101.08,8.73953,0.000367463
101.08,8.7591,0.000110783
101.08,8.77867,0.000641502
101.08,8.79824,0.000128996
101.08,8.95478,5.94854e-05
101.08,8.99392,0.000118669
101.08,9.07219,7.22408e-05
101.08,9.17003,2.33203e-05
101.08,9.2483,0.000427362
101.08,9.30701,7.33398e-05
101.08,9.32658,0.000328671
101.08,9.40485,0.000367492
101.08,9.42442,0.000579987
